,IA 5-5 - total worm pixels,IA 5-5 - worm size,IA 5-5 - raw worm count,IA 5-5 - manually added worms,IA 5-5 - final worm pixels,EtOH - total worm pixels,EtOH - worm size,EtOH - raw worm count,EtOH - manually added worms,EtOH - final worm pixels
AZ-247,23973,393,61,0,23973,10864,388,28,30,22504
,24056,388,62,3,25220,10906,3.895000e+02,28,25,2.064350e+04
,16497,423,39,15,22842,17955,399,45,0,17955
AZ-115,23112,428,54,0,23112,25515,405,63,0,25515
,17108,3.055000e+02,56,0,17108,19665,437,45,0,19665
,1.888950e+04,3.855000e+02,49,1,19275,15134,322,47,0,15134
AZ-327,20460,372,55,0,20460,30420,390,78,3,31590
,20553,403,51,-51,0,82468,389,212,-212,0
,26316,387,68,4,27864,12330,3.425000e+02,36,2,13015
AZ-327,17687,3.845000e+02,46,2,18456,16760,419,40,0,16760
,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN
,14170,218,65,-65,0,13516,218,62,-62,0
N2,23700,395,60,4,25280,12874,314,41,0,12874
,11000,440,25,45,30800,10304,448,23,40,28224
,19350,450,43,35,35100,16215,235,69,1,16450
